Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS610x8,610.0,8.0,118.8,1916.0,15130.0,9632.0,685500000.0,212.9,2248000.0,2899000.0,1371000000.0,4495000.0
CHS610x10,610.0,10.0,148.0,1916.0,18850.0,12000.0,848500000.0,212.2,2782000.0,3600000.0,1697000000.0,5564000.0
CHS610x12.5,610.0,12.5,184.2,1916.0,23464.0,14938.0,1048000000.0,211.3,3435000.0,4463000.0,2095000000.0,6869000.0
CHS610x14.2,610.0,14.2,208.6,1916.0,26579.0,16921.0,1180000000.0,210.7,3869000.0,5042000.0,2360000000.0,7738000.0
CHS610x16,610.0,16.0,234.4,1916.0,29858.0,19008.0,1318000000.0,210.1,4321000.0,5647000.0,2636000000.0,8641000.0
CHS610x20,610.0,20.0,291.0,1916.0,37071.0,23600.0,1615000000.0,208.7,5295000.0,6965000.0,3230000000.0,10590000.0
CHS610x25,610.0,25.0,360.7,1916.0,45946.0,29250.0,1969000000.0,207.0,6456000.0,8561000.0,3938000000.0,12910000.0
CHS610x30,610.0,30.0,429.1,1916.0,54664.0,34800.0,2305000000.0,205.3,7557000.0,10100000.0,4610000000.0,15110000.0
CHS610x40,610.0,40.0,562.3,1916.0,71628.0,45600.0,2923000000.0,202.0,9585000.0,13020000.0,5847000000.0,19170000.0
CHS610x50,610.0,50.0,690.5,1916.0,87965.0,56000.0,3476000000.0,198.8,11400000.0,15720000.0,6951000000.0,22790000.0
CHS711x6.3,711.0,6.3,109.5,2234.0,13947.0,8879.0,865900000.0,249.2,2436000.0,3129000.0,1732000000.0,4871000.0
CHS711x8,711.0,8.0,138.7,2234.0,17668.0,11248.0,1092000000.0,248.6,3071000.0,3954000.0,2183000000.0,6141000.0
CHS711x10,711.0,10.0,172.9,2234.0,22023.0,14020.0,1353000000.0,247.9,3806000.0,4914000.0,2706000000.0,7612000.0
CHS711x12.5,711.0,12.5,215.3,2234.0,27430.0,17462.0,1673000000.0,247.0,4707000.0,6099000.0,3347000000.0,9415000.0
CHS711x14.2,711.0,14.2,244.0,2234.0,31085.0,19789.0,1887000000.0,246.4,5309000.0,6895000.0,3775000000.0,10620000.0
CHS711x16,711.0,16.0,274.2,2234.0,34935.0,22240.0,2110000000.0,245.8,5936000.0,7730000.0,4221000000.0,11870000.0
CHS711x20,711.0,20.0,340.8,2234.0,43417.0,27640.0,2594000000.0,244.4,7295000.0,9552000.0,5187000000.0,14590000.0
CHS711x25,711.0,25.0,422.9,2234.0,53878.0,34300.0,3174000000.0,242.7,8927000.0,11770000.0,6347000000.0,17850000.0
CHS711x30,711.0,30.0,503.8,2234.0,64183.0,40860.0,3728000000.0,241.0,10490000.0,13920000.0,7456000000.0,20970000.0
CHS711x40,711.0,40.0,661.9,2234.0,84320.0,53680.0,4762000000.0,237.7,13400000.0,18030000.0,9525000000.0,26790000.0
CHS711x50,711.0,50.0,815.1,2234.0,103830.0,66100.0,5703000000.0,234.4,16040000.0,21890000.0,11410000000.0,32090000.0
CHS711x60,711.0,60.0,963.3,2234.0,122711.0,78120.0,6556000000.0,231.1,18440000.0,25500000.0,13110000000.0,36880000.0
CHS762x6.3,762.0,6.3,117.4,2394.0,14957.0,9522.0,1068000000.0,267.2,2803000.0,3598000.0,2136000000.0,5605000.0
CHS762x8,762.0,8.0,148.8,2394.0,18950.0,12064.0,1347000000.0,266.6,3535000.0,4548000.0,2694000000.0,7070000.0
CHS762x10,762.0,10.0,185.5,2394.0,23625.0,15040.0,1670000000.0,265.9,4384000.0,5655000.0,3341000000.0,8768000.0
CHS762x12.5,762.0,12.5,231.0,2394.0,29433.0,18738.0,2067000000.0,265.0,5426000.0,7023000.0,4135000000.0,10850000.0
CHS762x14.2,762.0,14.2,261.9,2394.0,33360.0,21238.0,2333000000.0,264.4,6123000.0,7942000.0,4665000000.0,12250000.0
CHS762x16,762.0,16.0,294.4,2394.0,37498.0,23872.0,2610000000.0,263.8,6850000.0,8906000.0,5219000000.0,13700000.0
CHS762x20,762.0,20.0,366.0,2394.0,46621.0,29680.0,3211000000.0,262.4,8427000.0,11010000.0,6422000000.0,16850000.0
CHS762x25,762.0,25.0,454.4,2394.0,57884.0,36850.0,3935000000.0,260.7,10330000.0,13580000.0,7869000000.0,20650000.0
CHS762x30,762.0,30.0,541.6,2394.0,68989.0,43920.0,4629000000.0,259.0,12150000.0,16080000.0,9257000000.0,24300000.0
CHS762x40,762.0,40.0,712.2,2394.0,90729.0,57760.0,5930000000.0,255.7,15560000.0,20870000.0,11860000000.0,31130000.0
CHS762x50,762.0,50.0,877.9,2394.0,111841.0,71200.0,7122000000.0,252.3,18690000.0,25390000.0,14240000000.0,37390000.0
CHS813x8,813.0,8.0,158.8,2554.0,20232.0,12880.0,1639000000.0,284.6,4032000.0,5184000.0,3278000000.0,8064000.0
CHS813x10,813.0,10.0,198.0,2554.0,25227.0,16060.0,2034000000.0,283.9,5003000.0,6448000.0,4067000000.0,10010000.0
CHS813x12.5,813.0,12.5,246.8,2554.0,31436.0,20012.0,2519000000.0,283.1,6196000.0,8011000.0,5037000000.0,12390000.0
CHS813x14.2,813.0,14.2,279.7,2554.0,35635.0,22686.0,2843000000.0,282.5,6994000.0,9062000.0,5686000000.0,13990000.0
CHS813x16,813.0,16.0,314.5,2554.0,40062.0,25504.0,3182000000.0,281.8,7828000.0,10160000.0,6364000000.0,15660000.0
CHS813x20,813.0,20.0,391.1,2554.0,49826.0,31720.0,3919000000.0,280.5,9641000.0,12580000.0,7838000000.0,19280000.0
CHS813x25,813.0,25.0,485.8,2554.0,61889.0,39400.0,4809000000.0,278.7,11830000.0,15530000.0,9617000000.0,23660000.0
CHS813x30,813.0,30.0,579.3,2554.0,73796.0,46980.0,5664000000.0,277.0,13930000.0,18400000.0,11330000000.0,27870000.0
CHS914x8,914.0,8.0,178.7,2871.0,22770.0,14496.0,2337000000.0,320.3,5113000.0,6567000.0,4673000000.0,10230000.0
CHS914x10,914.0,10.0,222.9,2871.0,28400.0,18080.0,2901000000.0,319.6,6349000.0,8172000.0,5803000000.0,12700000.0
CHS914x12.5,914.0,12.5,277.9,2871.0,35402.0,22538.0,3597000000.0,318.8,7871000.0,10160000.0,7194000000.0,15740000.0
CHS914x14.2,914.0,14.2,315.1,2871.0,40141.0,25554.0,4063000000.0,318.2,8892000.0,11500000.0,8127000000.0,17780000.0
CHS914x16,914.0,16.0,354.3,2871.0,45138.0,28736.0,4551000000.0,317.5,9959000.0,12900000.0,9103000000.0,19920000.0
CHS914x20,914.0,20.0,440.9,2871.0,56172.0,35760.0,5615000000.0,316.2,12290000.0,15990000.0,11230000000.0,24570000.0
CHS914x25,914.0,25.0,548.1,2871.0,69822.0,44450.0,6903000000.0,314.4,15110000.0,19760000.0,13810000000.0,30210000.0
CHS914x30,914.0,30.0,654.0,2871.0,83315.0,53040.0,8148000000.0,312.7,17830000.0,23450000.0,16300000000.0,35660000.0
CHS1016x8,1016.0,8.0,198.9,3192.0,25334.0,16128.0,3218000000.0,356.4,6334000.0,8129000.0,6436000000.0,12670000.0
CHS1016x10,1016.0,10.0,248.1,3192.0,31604.0,20120.0,3998000000.0,355.7,7871000.0,10120000.0,7997000000.0,15740000.0
CHS1016x12.5,1016.0,12.5,309.3,3192.0,39407.0,25088.0,4961000000.0,354.8,9766000.0,12590000.0,9922000000.0,19530000.0
CHS1016x14.2,1016.0,14.2,350.8,3192.0,44691.0,28451.0,5608000000.0,354.2,11040000.0,14250000.0,11220000000.0,22080000.0
CHS1016x16,1016.0,16.0,394.6,3192.0,50265.0,32000.0,6285000000.0,353.6,12370000.0,16000000.0,12570000000.0,24740000.0
CHS1016x20,1016.0,20.0,491.3,3192.0,62581.0,39840.0,7763000000.0,352.2,15280000.0,19840000.0,15530000000.0,30560000.0
CHS1016x25,1016.0,25.0,611.0,3192.0,77833.0,49550.0,9561000000.0,350.5,18820000.0,24560000.0,19120000000.0,37640000.0
